id,video_id,processing_requests,processing_requests_from_scratch,processing_requests_add_more,processing_requests_suggested,processing_requests_iterations,processing_requests_iterations_list,processing_requests_has_text,processing_requests_has_sketch,processing_requests_has_text_and_sketch,decisions_accept,decisions_reject,tasks_intents,tasks_edits,tasks_history_points,tasks_edit_from_suggestion,tasks_edit_types_text_intents,tasks_edit_types_text_edits,tasks_edit_types_text_from_suggestion,tasks_edit_types_image_intents,tasks_edit_types_image_edits,tasks_edit_types_image_from_suggestion,tasks_edit_types_shape_intents,tasks_edit_types_shape_edits,tasks_edit_types_shape_from_suggestion,tasks_edit_types_blur_intents,tasks_edit_types_blur_edits,tasks_edit_types_blur_from_suggestion,tasks_edit_types_zoom_intents,tasks_edit_types_zoom_edits,tasks_edit_types_zoom_from_suggestion,tasks_edit_types_crop_intents,tasks_edit_types_crop_edits,tasks_edit_types_crop_from_suggestion,tasks_edit_types_cut_intents,tasks_edit_types_cut_edits,tasks_edit_types_cut_from_suggestion,tasks_edit_types_empty_intents,tasks_edit_types_empty_edits,tasks_edit_types_empty_from_suggestion
6,video-2,8,7,1,19,5,"[2, 0, 3]",8,3,3,6,6,8,13,9,6,2,2,1,1,2,0,0,0,0,1,2,2,1,4,3,0,0,0,3,3,0,0,0,0
7,video-1,10,9,1,38,5,"[3, 2, 0, 0, 0]",10,0,0,15,19,10,18,9,12,2,1,0,3,6,4,0,0,0,1,2,1,2,7,6,2,2,1,0,0,0,0,0,0
9,video-1,10,8,2,30,4,"[0, 1, 1, 2, 0, 0]",10,4,4,17,6,6,18,9,15,2,5,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,1,3,3
11,video-1,5,5,0,12,0,"[0, 0, 0, 0, 0]",5,0,0,10,2,5,19,5,5,2,4,4,2,14,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
13,video-2,8,7,1,22,3,"[2, 1, 0, 0, 0]",8,6,6,16,2,8,32,9,10,0,0,0,6,31,10,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
14,video-2,12,12,0,55,5,"[3, 1, 1, 0, 0, 0, 0]",12,4,4,16,7,9,16,14,16,5,8,8,3,6,6,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0
20,video-1,10,8,2,40,6,"[4, 1, 1, 0]",10,2,2,6,11,4,11,8,5,1,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0
21,video-1,14,14,0,60,6,"[1, 0, 0, 2, 0, 1, 0, 2]",14,2,2,17,19,6,16,6,9,3,8,3,0,0,0,0,0,0,1,5,4,0,0,0,0,0,0,2,3,2,0,0,0
22,video-2,7,7,0,14,1,"[0, 1, 0, 0, 0, 0]",7,2,2,11,1,7,17,11,10,2,7,1,1,5,5,1,1,1,1,2,1,1,1,1,0,0,0,1,1,1,0,0,0
24,video-2,9,8,1,16,6,"[5, 1, 0]",9,1,1,4,5,4,6,8,4,1,2,2,1,1,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
